State, Total Population 2010,Population in Rented Housing 2010, Total Population 2000,Population in Rented Housing 2000
Alabama,4663920,1352616,4332380,1273652
Alaska,683879,235441,607583,166990
Arizona,6252633,2118516,5020782,1399596
Arkansas,2836987,907769,2599492,853754
California,36434140,15691211,33051894,6697480
Colorado,4913318,1590292,4198306,1329742
Connecticut,3455945,1012238,3297626,1062474
Delaware,873521,236990,759017,228325
District of Columbia,561702,315456,536497,83845
Florida,18379601,6027763,15593433,4573992
Georgia,9434454,3147418,7952631,2021572
Hawaii,1317421,524261,1175755,121806
Idaho,1538631,446339,1262457,429094
Illinois,12528859,3741396,12097512,3412272
Indiana,6296879,1753754,5902331,2052725
Iowa,2948243,730342,2822155,1089018
Kansas,2774044,814243,2606468,900330
Kentucky,4213497,1246689,3926965,1439875
Louisiana,4405945,1373027,4333011,1106632
Maine,1292816,326348,1240011,505270
Maryland,5635177,1694657,5162430,1304935
Massachusetts,6308747,2094535,6127881,2089805
Michigan,9654572,2471438,9688555,3091051
Minnesota,5168530,1218370,4783596,1736933
Mississippi,2875333,857431,2749244,685136
Missouri,5814785,1669216,5433153,1883095
Montana,960566,286031,877433,331396
Nebraska,1775176,522258,1660445,603311
Nevada,2664397,1090252,1964582,551344
New Hampshire,1276366,322079,1200247,456731
New Jersey,8605018,2745681,8219529,2186762
New Mexico,2016550,605097,1782739,362387
New York,18792424,8234589,18395996,4772806
North Carolina,9278237,2987951,7795432,2326759
North Dakota,647535,190505,618569,242169
Ohio,11230238,3340814,11054019,3800384
Oklahoma,3639334,1141433,3338279,1057229
Oregon,3744432,1357689,3343908,1178404
Pennsylvania,12276266,3301526,11847753,4131414
Rhode Island,1009904,359230,1009503,351370
South Carolina,4486210,1355711,3876975,1077748
South Dakota,780130,223885,726426,267606
Tennessee,6192633,1888161,5541337,1829493
Texas,24564422,8232842,20290711,4488091
Utah,2717733,731045,2192689,621494
Vermont,600412,155804,588067,233609
Virginia,7761190,2415571,6847117,2006477
Washington,6585165,2221767,5757739,1911195
West Virginia,1803612,442182,1765197,701171
Wisconsin,5536772,1572376,5207717,1887403
Wyoming,549914,157487,479699,176984
